PCB,test,metric,unit,value,note
PCB,T5_slo,ber,ppm,0,460800 busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,921600 busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,921600 busA(RS485-multidrop) SLO=ON
PCB,T5_slo,ber,ppm,0,921600 busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,1M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,1M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,ber,ppm,0,1M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,2M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,2M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,ber,ppm,0,2M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,3M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,3M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,ber,ppm,0,3M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,4M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,4M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,ber,ppm,0,4M busA(RS485-multidrop) SLO=ON
PCB,T5_slo,baud_max_sin_errores,bps,4000000,busA(RS485-multidrop) SLO=ON
PCB,T5_slo,baud_max_con_slo,bps,4000000,busA(RS485-multidrop) SLO_OFF=460800 bps
PCB,T5_slo,bytes_ok,count,1024,9600 busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,9600 busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,9600 busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,115200 busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,115200 busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,115200 busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,460800 busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,460800 busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,460800 busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,921600 busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,921600 busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,921600 busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,1M busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,1M busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,1M busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,2M busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,2M busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,2M busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,3M busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,3M busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,3M busB(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,4M busB(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,4M busB(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,4M busB(RS422) SLO=ON
